Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,4.300000,4.570000,4.170000,4.330000,4.330000,2758800
2020-03-24,4.660000,4.940000,4.510000,4.710000,4.710000,3979300
2020-03-25,4.710000,4.970000,4.420000,4.840000,4.840000,3955900
2020-03-26,4.940000,5.200000,4.790000,5.050000,5.050000,3391600
2020-03-27,4.820000,4.870000,4.550000,4.600000,4.600000,3203700
2020-03-30,4.570000,4.610000,4.320000,4.550000,4.550000,2963300
2020-03-31,4.790000,4.850000,4.620000,4.720000,4.720000,1865600
2020-04-01,4.480000,4.490000,4.070000,4.110000,4.110000,3146400
2020-04-02,4.200000,4.240000,4.010000,4.120000,4.120000,2507600
2020-04-03,4.250000,4.250000,3.920000,4.080000,4.080000,3077400
2020-04-06,4.310000,4.580000,4.290000,4.560000,4.560000,3237100
2020-04-07,4.660000,4.830000,4.290000,4.340000,4.340000,4754700
2020-04-08,4.540000,4.730000,4.410000,4.610000,4.610000,2701700
2020-04-09,4.900000,5.240000,4.880000,5.140000,5.140000,4439100
2020-04-13,5.000000,5.030000,4.720000,4.860000,4.860000,3622300
2020-04-14,4.980000,5.110000,4.940000,5.040000,5.040000,3324700
2020-04-15,4.840000,4.840000,4.610000,4.690000,4.690000,2639100
2020-04-16,4.770000,4.970000,4.710000,4.930000,4.930000,2966700
2020-04-17,5.250000,5.300000,5.060000,5.120000,5.120000,2578500
2020-04-20,5.120000,5.260000,5.040000,5.110000,5.110000,2003600
2020-04-21,4.890000,4.890000,4.680000,4.700000,4.700000,2355900
2020-04-22,4.950000,5.040000,4.870000,5.010000,5.010000,1908900
2020-04-23,5.060000,5.150000,4.970000,5.010000,5.010000,1742800
2020-04-24,4.950000,5.010000,4.770000,4.870000,4.870000,2017700
2020-04-27,4.970000,5.050000,4.900000,5.000000,5.000000,2082300
2020-04-28,5.140000,5.160000,5.010000,5.080000,5.080000,1795200
2020-04-29,5.180000,5.980000,5.180000,5.880000,5.880000,5303300
2020-04-30,6.030000,6.330000,5.760000,5.920000,5.920000,4690600
2020-05-01,5.600000,5.680000,5.450000,5.600000,5.600000,2760500
2020-05-04,5.500000,5.650000,5.410000,5.610000,5.610000,2666000
2020-05-05,5.540000,5.660000,5.460000,5.470000,5.470000,2158400
2020-05-06,5.560000,5.590000,5.330000,5.390000,5.390000,1510800
2020-05-07,5.500000,5.600000,5.440000,5.500000,5.500000,1817600
2020-05-08,5.470000,5.590000,5.430000,5.550000,5.550000,1781100
2020-05-11,5.690000,5.890000,5.560000,5.850000,5.850000,3980400
2020-05-12,5.950000,6.300000,5.810000,6.040000,6.040000,5478800
2020-05-13,6.060000,6.060000,5.450000,5.550000,5.550000,3669500
2020-05-14,5.390000,5.830000,5.100000,5.660000,5.660000,5059200
2020-05-15,5.450000,5.600000,5.400000,5.480000,5.480000,1985300
2020-05-18,5.600000,5.680000,5.490000,5.580000,5.580000,3649500
2020-05-19,5.640000,5.640000,5.300000,5.320000,5.320000,2976500
2020-05-20,5.450000,5.570000,5.350000,5.510000,5.510000,2122900
2020-05-21,5.550000,5.640000,5.440000,5.570000,5.570000,1977500
2020-05-22,5.540000,5.570000,5.350000,5.460000,5.460000,1865000
2020-05-26,5.630000,5.730000,5.610000,5.610000,5.610000,2784700
2020-05-27,5.800000,5.830000,5.550000,5.810000,5.810000,4460700
2020-05-28,6.000000,6.010000,5.700000,5.750000,5.750000,3222900
2020-05-29,5.750000,5.770000,5.560000,5.710000,5.710000,2091000
2020-06-01,5.880000,6.120000,5.860000,6.060000,6.060000,2692500
2020-06-02,6.500000,6.740000,6.410000,6.610000,6.610000,5490400
2020-06-03,6.840000,6.900000,6.720000,6.810000,6.810000,3395400
2020-06-04,6.690000,6.810000,6.630000,6.680000,6.680000,3440000
2020-06-05,7.350000,7.730000,7.350000,7.450000,7.450000,4313300
2020-06-08,7.870000,7.870000,7.680000,7.800000,7.800000,3389100
2020-06-09,7.440000,7.480000,7.250000,7.320000,7.320000,2768900
2020-06-10,7.400000,7.440000,7.010000,7.210000,7.210000,3340600
2020-06-11,6.720000,6.830000,6.500000,6.550000,6.550000,3465300
2020-06-12,7.190000,7.190000,6.760000,7.000000,7.000000,2880700
2020-06-15,6.450000,6.730000,6.360000,6.710000,6.710000,2961300
2020-06-16,6.580000,6.600000,6.230000,6.310000,6.310000,5464700
2020-06-17,6.330000,6.350000,6.170000,6.190000,6.190000,2059800
2020-06-18,6.240000,6.370000,6.180000,6.370000,6.370000,1754400
2020-06-19,6.560000,6.740000,6.460000,6.590000,6.590000,4810500
2020-06-22,6.730000,6.890000,6.690000,6.790000,6.790000,2759300
2020-06-23,6.900000,6.980000,6.870000,6.890000,6.890000,1798700
2020-06-24,6.840000,6.920000,6.610000,6.710000,6.710000,2100800
2020-06-25,6.560000,7.070000,6.540000,6.950000,6.950000,3722400
2020-06-26,6.750000,6.750000,6.410000,6.600000,6.600000,2969900
2020-06-29,6.600000,6.780000,6.510000,6.710000,6.710000,2294900
2020-06-30,6.640000,6.650000,6.500000,6.570000,6.570000,2088100
2020-07-01,6.640000,6.790000,6.600000,6.680000,6.680000,1585000
2020-07-02,6.820000,6.900000,6.670000,6.870000,6.870000,2351600
2020-07-06,7.300000,7.680000,7.210000,7.530000,7.530000,5077500
2020-07-07,7.400000,7.440000,7.300000,7.320000,7.320000,1625000
2020-07-08,7.100000,7.120000,6.930000,7.060000,7.060000,1809800
2020-07-09,7.160000,7.300000,7.090000,7.230000,7.230000,2636500
2020-07-10,7.210000,7.430000,7.160000,7.350000,7.350000,2402000
2020-07-13,7.330000,7.390000,7.080000,7.090000,7.090000,1586700
2020-07-14,6.980000,7.060000,6.800000,7.020000,7.020000,1662800
2020-07-15,7.000000,7.050000,6.900000,7.020000,7.020000,1713300
2020-07-16,6.900000,6.960000,6.820000,6.910000,6.910000,1251900
2020-07-17,7.110000,7.180000,6.930000,6.950000,6.950000,2364000
2020-07-20,6.960000,7.130000,6.870000,7.120000,7.120000,1124900
2020-07-21,7.370000,7.590000,7.330000,7.350000,7.350000,3050600
2020-07-22,7.120000,7.240000,7.100000,7.140000,7.140000,1502300
2020-07-23,7.160000,7.160000,6.960000,7.000000,7.000000,1369100
2020-07-24,6.890000,6.950000,6.830000,6.870000,6.870000,1540500
2020-07-27,6.850000,6.860000,6.750000,6.790000,6.790000,1191700
2020-07-28,7.060000,7.330000,7.040000,7.240000,7.240000,3430300
2020-07-29,7.110000,7.170000,7.000000,7.120000,7.120000,1269000
2020-07-30,6.960000,7.050000,6.780000,7.030000,7.030000,2721400
2020-07-31,7.060000,7.300000,6.780000,6.820000,6.820000,2814700
